student,titrant,replicate,hcl_molar_concentration
1,bromothymol blue,1,0.1023
1,bromothymol blue,2,0.1018
1,bromothymol blue,3,0.1025
1,bromothymol blue,4,0.1017
1,bromothymol blue,5,0.1022
1,bromothymol blue,6,0.1020
2,bromothymol blue,1,0.1018
2,bromothymol blue,2,0.1022
2,bromothymol blue,3,0.1019
2,bromothymol blue,4,0.1018
3,bromothymol blue,1,0.1000
3,bromothymol blue,2,0.0986
3,bromothymol blue,3,0.0994
3,bromothymol blue,4,0.1000
4,bromothymol blue,1,0.1028
4,bromothymol blue,2,0.1031
4,bromothymol blue,3,0.1025
4,bromothymol blue,4,0.10370
4,bromothymol blue,5,0.0999
4,bromothymol blue,6,0.1031
5,bromothymol blue,1,0.1030
5,bromothymol blue,2,0.1030
5,bromothymol blue,3,0.1024
5,bromothymol blue,4,0.1025
5,bromothymol blue,5,0.1026
6,bromothymol blue,1,0.1023
6,bromothymol blue,2,0.1021
6,bromothymol blue,3,0.1026
6,bromothymol blue,4,0.1020
6,bromothymol blue,5,0.1020
6,bromothymol blue,6,0.1018
7,methyl red,1,0.1021
7,methyl red,2,0.1027
7,methyl red,3,0.1031
7,methyl red,4,0.1029
8,methyl red,1,0.1025
8,methyl red,2,0.1019
8,methyl red,3,0.1022
8,methyl red,4,0.1016
8,methyl red,5,0.1020
9,methyl red,1,0.1019
9,methyl red,2,0.1018
9,methyl red,3,0.1020
9,methyl red,5,0.1019
9,methyl red,6,0.1018
10,methyl red,1,0.1028
10,methyl red,2,0.1023
10,methyl red,3,0.1019
10,methyl red,4,0.1024
10,methyl red,5,0.1024
10,methyl red,6,0.1024
11,bromocresol green,1,0.1023
11,bromocresol green,2,0.1021
11,bromocresol green,3,0.1020
11,bromocresol green,5,0.1021
11,bromocresol green,6,0.1022
11,bromocresol green,7,0.1022
12,bromocresol green,1,0.1018
12,bromocresol green,2,0.1016
12,bromocresol green,3,0.1019
12,bromocresol green,4,0.1013
12,bromocresol green,5,0.1022
13,bromocresol green,1,0.1019
13,bromocresol green,2,0.1017
13,bromocresol green,3,0.1017
13,bromocresol green,4,0.1017
13,bromocresol green,5,0.1019
13,bromocresol green,6,0.1020
14,methyl orange,1,0.1013
14,methyl orange,2,0.1018
14,methyl orange,3,0.1014
14,methyl orange,4,0.1017
14,methyl orange,5,0.1019
14,methyl orange,6,0.1017
15,methyl orange,1,0.1015
15,methyl orange,2,0.1018
15,methyl orange,3,0.1017
15,methyl orange,4,0.1023
15,methyl orange,5,0.1023
15,methyl orange,6,0.1020
16,methyl orange,1,0.1013
16,methyl orange,2,0.1018
16,methyl orange,3,0.1011
16,methyl orange,4,0.1014
16,methyl orange,5,0.1015
16,methyl orange,6,0.1016
17,methyl orange,1,0.1014
17,methyl orange,2,0.1017
17,methyl orange,3,0.1019
17,methyl orange,4,0.1018
17,methyl orange,5,0.1017
17,methyl orange,6,0.1016
18,methyl orange,1,0.1020
18,methyl orange,2,0.1018
18,methyl orange,3,0.1018
18,methyl orange,4,0.1019
18,methyl orange,5,0.1016
